log,gear_proxy,t_start_s,clock,rpm_mean,rpm_span,rpm_sd,n_samples,ect_c,ect_age_s,speed_kmh,event_id,condition,being_tested,epoch
2026-09-04 22-23-38.zip,park_neutral,80641.51,22:24:01.51,651.6,22.0,4.99,74,88.0,0.1,0.0,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,81571.51,22:39:31.51,656.8,23.0,5.26,92,83.0,0.1,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,81581.51,22:39:41.51,653.8,79.0,15.45,330,83.0,8.9,0.0,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,81591.51,22:39:51.51,655.2,67.0,10.67,322,83.0,18.9,0.0,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,81601.51,22:40:01.51,654.2,73.0,14.63,318,83.0,28.9,0.0,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,81611.51,22:40:11.51,653.9,80.0,16.29,322,83.0,38.9,0.0,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,81621.51,22:40:21.51,652.1,58.0,11.75,278,83.0,48.9,0.0,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,81631.51,22:40:31.51,657.5,65.0,11.59,278,83.0,58.9,0.0,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,81641.51,22:40:41.51,649.9,73.0,12.57,218,83.0,68.9,0.0,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,81651.51,22:40:51.51,652.1,43.0,9.12,220,83.0,78.9,0.0,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,81661.51,22:41:01.51,655.8,77.0,14.73,233,83.0,88.9,0.0,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,81671.51,22:41:11.51,650.7,73.0,14.87,242,83.0,98.9,0.0,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,81681.51,22:41:21.51,651.3,58.0,11.12,221,83.0,108.9,0.0,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,81691.51,22:41:31.51,656.0,71.0,12.61,223,83.0,118.9,0.0,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,81701.51,22:41:41.51,651.5,71.0,14.95,246,83.0,128.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,81711.51,22:41:51.51,651.5,49.0,10.12,209,83.0,138.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,81721.51,22:42:01.51,656.0,73.0,13.71,235,83.0,148.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,81731.51,22:42:11.51,651.9,76.0,16.86,286,83.0,158.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,81741.51,22:42:21.51,651.6,53.0,9.51,300,83.0,168.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,81751.51,22:42:31.51,655.2,81.0,16.18,304,83.0,178.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,81761.51,22:42:41.51,651.6,77.0,15.98,291,83.0,188.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,81771.51,22:42:51.51,653.3,52.0,10.7,298,83.0,198.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,81781.51,22:43:01.51,657.2,80.0,16.86,243,83.0,208.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,81791.51,22:43:11.51,649.5,52.0,10.29,264,83.0,218.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,81801.51,22:43:21.51,652.2,34.0,7.64,268,83.0,228.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,81811.51,22:43:31.51,653.6,33.0,5.62,256,83.0,238.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,81821.51,22:43:41.51,651.1,35.0,7.85,239,83.0,248.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,81831.51,22:43:51.51,653.3,40.0,7.62,247,83.0,258.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,81841.51,22:44:01.51,652.3,37.0,9.04,230,83.0,268.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,81851.51,22:44:11.51,646.8,42.0,8.74,229,83.0,278.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,81861.51,22:44:21.51,652.8,30.0,6.34,208,83.0,288.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,81871.51,22:44:31.51,650.1,31.0,7.24,220,83.0,298.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,81881.51,22:44:41.51,654.7,36.0,8.4,248,,308.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,81891.51,22:44:51.51,646.8,74.0,14.21,246,,318.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,81901.51,22:45:01.51,654.0,38.0,6.78,214,,328.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,81911.51,22:45:11.51,650.4,37.0,7.08,208,,338.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,81921.51,22:45:21.51,661.1,180.0,33.6,197,,348.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,81931.51,22:45:31.51,658.3,58.0,14.03,252,,358.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,81941.51,22:45:41.51,659.5,65.0,8.86,311,,368.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,81951.51,22:45:51.51,657.9,82.0,18.42,312,,378.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,81961.51,22:46:01.51,658.5,97.0,18.06,319,,388.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,81971.51,22:46:11.51,651.2,63.0,10.55,310,,398.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,81981.51,22:46:21.51,655.6,80.0,15.38,312,,408.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,81991.51,22:46:31.51,654.8,73.0,14.16,309,,418.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,82001.51,22:46:41.51,657.0,88.0,16.59,310,,428.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,82011.51,22:46:51.51,649.9,62.0,12.02,288,,438.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,82021.51,22:47:01.51,657.0,74.0,14.45,234,,448.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,82031.51,22:47:11.51,656.6,71.0,14.12,256,,458.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,82041.51,22:47:21.51,648.7,56.0,10.68,293,,468.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,82051.51,22:47:31.51,653.5,80.0,16.26,292,,478.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,82061.51,22:47:41.51,657.0,82.0,12.62,284,,488.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,82071.51,22:47:51.51,649.5,57.0,10.57,288,,498.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,82081.51,22:48:01.51,653.1,82.0,16.08,310,,508.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,82091.51,22:48:11.51,655.1,92.0,16.75,312,,518.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,82101.51,22:48:21.51,648.3,64.0,10.67,317,,528.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,82111.51,22:48:31.51,652.5,78.0,14.37,313,,538.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,82121.51,22:48:41.51,656.4,76.0,14.67,316,,548.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,82131.51,22:48:51.51,650.3,70.0,14.23,308,,558.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,82141.51,22:49:01.51,653.1,78.0,16.13,310,,568.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,82151.51,22:49:11.51,654.8,64.0,9.64,306,,578.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,82161.51,22:49:21.51,655.5,80.0,16.53,302,,588.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,82171.51,22:49:31.51,653.9,68.0,15.26,317,,598.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,82181.51,22:49:41.51,654.5,59.0,11.02,321,,608.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,82191.51,22:49:51.51,652.3,81.0,15.26,302,,618.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,82201.51,22:50:01.51,656.6,63.0,12.74,309,,628.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,82211.51,22:50:11.51,655.1,54.0,8.75,310,,638.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,82221.51,22:50:21.51,654.1,80.0,16.05,310,,648.9,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,82231.51,22:50:31.51,652.9,64.0,10.82,79,82.0,0.3,,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,82461.51,22:54:21.51,652.7,52.0,10.96,192,82.0,1.7,0.0,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,82471.51,22:54:31.51,652.3,69.0,13.16,291,82.0,11.7,0.0,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,82481.51,22:54:41.51,653.3,46.0,7.87,312,82.0,21.7,0.0,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,82491.51,22:54:51.51,656.0,79.0,14.26,299,82.0,31.7,0.0,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,82501.51,22:55:01.51,651.3,67.0,14.15,291,82.0,41.7,0.0,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
2026-09-04 22-23-38.zip,park_neutral,82511.51,22:55:11.51,653.1,55.0,9.21,298,82.0,51.7,0.0,N-01,standstill idle warm ECT 81-83,baseline idle characterisation,pre_purge_valve
