reading_id,session_date,phone_clock,graph_clock,capture_type,channel_graph_header,channel_list_label,paired_with,gear,load,thermal,coolant_c,ac,rpm_at_capture,value,value_min,value_max,span,units,reading_method,admissible,epoch,notes,source,msg,captured_at,exif_session,minutes_from_start,value_num,min_num,max_num,span_num,rpm_num,coolant_num,is_admissible,epoch_by_time,channel
PART0-0001,2026-09-02,unknown,unknown,value_read,unknown,unknown,none,P,idle,warm,unknown,off,unknown,unknown,650,750,100,rpm,owner_report,unknown,pre_purge_valve,"DIRECT ANSWER from the owner to 'What is the actual idle rpm in Park, warm, A/C off?' - 'Normal, around 650-750'. Higher grade than PART1-0001, which was the assistant's restatement of this same answer. Read off the dash tachometer, not logged.",owner_answers round 3; near [8],8,,,,,650.0,750.0,100.0,,,0,unknown,unknown
PART0-0002,2026-09-02,unknown,unknown,value_read,unknown,unknown,none,P,rpm_sweep,unknown,unknown,unknown,unknown,reproducible_in_park_standing_still,1000,2000,1000,rpm,owner_report,unknown,pre_purge_valve,"DIRECT ANSWER to 'The unstable 1,000-2,000 rpm - can you reproduce it standing still?' - 'Yes, in Park standing still'. CONFIRMS the 1,000-2,000 rpm instability that part1 row P1O-0014 recorded as unconfirmed repo-carried claim. Note the tension with PART0-0018 from the very next round, where the sweep answer is 'present everywhere, roughly equal' - i.e. no band standing out.",owner_answers round 2; near [7],7,,,,,1000.0,2000.0,1000.0,,,0,unknown,unknown
PART0-0003,2026-09-02,unknown,unknown,value_read,unknown,tachometer needle (dash),none,P,rpm_sweep,unknown,unknown,unknown,1500,needle_visibly_wanders,unknown,unknown,unknown,n/a,owner_report,unknown,pre_purge_valve,"DIRECT ANSWER to 'Holding steady throttle in Park at ~1,500 rpm, does the tachometer needle actually move?' - 'Needle visibly wanders'. The 1,500 rpm figure is the condition set in the question, not measured by the owner. This answer is what made the assistant reverse its mechanical-imbalance theory in [9].",owner_answers round 3; near [8],8,,,,,,,,1500.0,,0,unknown,unknown
PART0-0004,2026-09-02,unknown,unknown,dtc,unknown,malfunction indicator lamp (MIL),none,n/a,n/a,unknown,unknown,unknown,unknown,never_illuminated,unknown,unknown,unknown,n/a,owner_report,unknown,pre_purge_valve,"DIRECT ANSWER to 'Has the check engine light ever come on since this started?' - 'Never, not once'. This is a lamp observation, not a code read; no scan tool had been connected at this point.",owner_answers round 2; near [7],7,,,,,,,,,,0,unknown,unknown
PART0-0005,2026-09-02,unknown,unknown,subjective,unknown,unknown,none,P,idle,unknown,unknown,on,unknown,no_change,unknown,unknown,unknown,n/a,owner_report,unknown,pre_purge_valve,DIRECT ANSWER to 'What does turning the A/C on do to the shake at idle?' - 'No change at all'. Used by the assistant to kill the idle-air-control and low-idle-speed theories.,owner_answers round 2; near [7],7,,,,,,,,,,0,unknown,unknown
PART0-0006,2026-09-02,unknown,unknown,physical,unknown,engine coolant temperature (dash gauge),none,unknown,unknown,warm,unknown,unknown,unknown,comes_up_normally_stays_there,unknown,unknown,unknown,n/a,owner_report,unknown,pre_purge_valve,"DIRECT ANSWER to 'Does the temperature gauge come up to normal and stay there?' - 'Comes up normally, stays there'. No numeric temperature stated.",owner_answers round 9; near [23],23,,,,,,,,,,0,unknown,unknown
PART0-0007,2026-09-02,unknown,unknown,physical,unknown,engine oil viscosity in sump,none,n/a,n/a,n/a,unknown,n/a,n/a,5W-30,unknown,unknown,unknown,SAE grade,owner_report,unknown,pre_purge_valve,HEDGED ANSWER to 'What oil viscosity is in it now?' - '5W-30 or similar'. The owner is not certain of the grade. Recorded as 5W-30 with the hedge preserved here; do not treat as confirmed.,owner_answers round 9; near [23],23,,,,,,,,,,0,unknown,unknown
PART0-0008,2026-09-02,unknown,unknown,physical,unknown,coolant level,none,n/a,n/a,unknown,unknown,n/a,n/a,stays_steady,unknown,unknown,unknown,n/a,owner_report,unknown,pre_purge_valve,DIRECT ANSWER to 'Does it use or lose coolant?' - 'Level stays steady'. Bears on the internal timing-chain-driven water pump watch item.,owner_answers round 9; near [23],23,,,,,,,,,,0,unknown,unknown
PART0-0009,2026-09-02,unknown,unknown,value_read,unknown,distance driven since battery disconnect and relearn,none,n/a,driving,n/a,unknown,n/a,n/a,300,unknown,unknown,unknown,km,owner_report,unknown,pre_purge_valve,DIRECT ANSWER to 'Has the battery been disconnected or replaced - and was an idle relearn done afterward?' - 'Disconnect and drove about 300km and relearn done'. 'About' - approximate.,owner_answers round 7; near [18],18,,,,300.0,,,,,,0,unknown,unknown
PART0-0010,2026-09-02,unknown,unknown,value_read,unknown,drive-cycle relearn distance advised by the shop,none,n/a,driving,n/a,unknown,n/a,n/a,250,unknown,unknown,unknown,km,owner_report,unknown,pre_purge_valve,"HEDGED ANSWER to 'Was an idle relearn run after that cleaning?' - 'I don't know they said drive it 250km and it will relearn'. The 250 km is what the shop told him, NOT a confirmed relearn procedure and NOT a distance he confirms driving. The assistant in [28] treated this as a legitimate completed relearn - that goes beyond what the owner said.",owner_answers round 11; near [27],27,,,,250.0,,,,,,0,unknown,unknown
PART0-0011,unknown,unknown,unknown,value_read,unknown,airbag / restraint warning lamp,none,n/a,key_on_engine_off,unknown,unknown,unknown,unknown,no_light_cluster_normal,unknown,unknown,unknown,n/a,owner_report,unknown,pre_purge_valve,"DIRECT ANSWER to 'Is the airbag / restraint warning light on in the cluster?' - 'No light, cluster normal'. Makes the RCM restraint code historical rather than an active fault. Epoch inferred from message position (near [102], well before the purge valve replacement), not stated by the owner.",owner_answers round 12; near [102],102,2026-09-04 22:26:11,EX01,0.0,,,,,,,0,pre_purge_valve,unknown
PART0-0012,unknown,unknown,unknown,dtc,unknown,complete DTC list,none,n/a,n/a,unknown,unknown,unknown,unknown,list_complete,unknown,unknown,unknown,n/a,owner_report,unknown,pre_purge_valve,"DIRECT ANSWER to 'Was that the complete code list, or is there more above or below?' - 'That is everything'. Confirms the code list captured in the scan near [102] was not truncated by the screenshot. The codes themselves are in another agent's part.",owner_answers round 12; near [102],102,2026-09-04 22:26:11,EX01,0.0,,,,,,,0,pre_purge_valve,unknown
