time,"[PCM] ATF Temperature (℃)","[PCM] Cylinder head temperature (℃)","Altitude (GPS) (m)","Ambient air temperature (℃)","Average speed (GPS) (km/h)","Calculated engine load value (%)","Catalyst temperature Bank 1 Sensor 1 (℃)","Catalyst temperature Bank 2 Sensor 1 (℃)","Engine coolant temperature (℃)","Intake air temperature (℃)","OBD Module Voltage (V)","Short term fuel % trim - Bank 1 (%)","Speed (GPS) (km/h)",Latitude,Longtitude,
00:49:32.185,,,0,,,,,,,,,,0,21.4498981,39.2542608,
00:49:32.439,,,,,,,,,,,12.7,,,21.4498981,39.2542608,
00:49:32.849,,,,,,,,,,,12.8,,,21.4498981,39.2542608,
00:49:33.037,,,,,,,,,,,12.8,,,21.4498981,39.2542608,
00:49:33.235,,,42.56707763671875,,0,,,,,,,,0,21.4498981,39.2542608,
00:49:33.494,,,,,,31.764705882352942,,,,,,,,21.4498981,39.2542608,
00:49:33.636,,,,,,,,,82,,,,,21.4498981,39.2542608,
00:49:33.789,,,,,,,,,,,,-3.125,,21.4498981,39.2542608,
00:49:33.817,,,,,,,,,,,12.8,,,21.4498981,39.2542608,
00:49:34.221,,,42.5645751953125,,0,,,,,,,,0,21.4498981,39.2542608,
00:49:34.295,,,,,,46.666666666666664,,,,,,,,21.4498981,39.2542608,
00:49:34.484,,,,,,,,,82,,,,,21.4498981,39.2542608,
00:49:34.627,,,,,,,,,,,,1.5625,,21.4498981,39.2542608,
00:49:34.656,,,,,,,,,,,12.8,,,21.4498981,39.2542608,
00:49:35.140,,,,,,41.96078431372549,,,,,,,,21.4498981,39.2542608,
00:49:35.218,,,42.56451416015625,,0,,,,,,,,0,21.4498981,39.2542608,
00:49:35.284,,,,,,,,,,,,0,,21.4498981,39.2542608,
00:49:35.320,,,,,,,,,,,12.8,,,21.4498981,39.2542608,
00:49:35.461,,,,,,40.78431372549019,,,,,,,,21.4498981,39.2542608,
00:49:35.648,,,,,,,,,82,,,,,21.4498981,39.2542608,
00:49:35.700,,,,,,,,,,,,0.78125,,21.4498981,39.2542608,
00:49:35.753,,,,,,,,,,,12.8,,,21.4498981,39.2542608,
00:49:35.897,,,,,,40.78431372549019,,,,,,,,21.4498981,39.2542608,
00:49:35.929,,,,,,,,,,,,1.5625,,21.4498981,39.2542608,
00:49:35.957,,,,,,,,,,,12.8,,,21.4498981,39.2542608,
00:49:36.109,,,,,,40.78431372549019,,,,,,,,21.4498981,39.2542608,
00:49:36.162,,,,,,,,,82,,,,,21.4498981,39.2542608,
00:49:36.199,,,,,,,,,,,,1.5625,,21.4498981,39.2542608,
00:49:36.228,,,42.56304931640625,,0,,,,,,,,0,21.4498981,39.2542608,
00:49:36.228,,,,,,,,,,,12.8,,,21.4498981,39.2542608,
00:49:36.320,,,,,,41.1764705882353,,,,,,,,21.4498981,39.2542608,
00:49:36.350,,,,,,,,,,,,1.5625,,21.4498981,39.2542608,
00:49:36.414,,,,,,,,,,,12.8,,,21.4498981,39.2542608,
00:49:36.604,,,,,,41.1764705882353,,,,,,,,21.4498981,39.2542608,
00:49:36.655,,,,,,,,,82,,,,,21.4498981,39.2542608,
00:49:36.708,,,,,,,,,,,,1.5625,,21.4498981,39.2542608,
00:49:36.800,,,,,,,,,,,12.7,,,21.4498981,39.2542608,
00:49:36.839,,,,,,,,,,,12.7,,,21.4498981,39.2542608,
00:49:37.224,,,42.5638427734375,,0,,,,,,,,0,21.4498981,39.2542608,
00:49:37.335,,,,,,,,,82,,,,,21.4498981,39.2542608,
00:49:37.476,,,,,,,,,,54,,,,21.4498981,39.2542608,
00:49:37.649,,,,,,,511.4,,,,,,,21.4498981,39.2542608,
00:49:37.805,,,,,,,,511.4,,,,,,21.4498981,39.2542608,
00:49:37.966,,,,36,,,,,,,,,,21.4498981,39.2542608,
