time,"A/C pressure (kPa)","Air:fuel ratio ()","Average speed (km/h)","Calculated engine load value (%)","Calculated instant fuel rate (L/h)","Distance travelled (km)","Distance travelled (Today) (km)","Distance travelled (total) (km)","Distance travelled (Week) (km)","Engine coolant temperature (℃)","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Fuel used (L)","Fuel used (Today) (L)","Fuel used (total) (L)","Fuel used (Week) (L)","Fuel used price ($)","Fuel used price (Today) ($)","Fuel used price (total) ($)","Fuel used price (Week) ($)","Gear (AT) ()","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℃)","Knock retard (°)","Lambda ()","Learned octane ()","Long term fuel % trim - Bank 1 (%)","Long term fuel % trim - Bank 2 (%)","MAF air flow rate (g/sec)","Oxygen sensor 2 Bank 1 Voltage (V)","Oxygen sensor 2 Bank 2 Voltage (V)","Power from MAF (hp)","Short term fuel % trim - Bank 1 (%)","Short term fuel % trim - Bank 2 (%)","Throttle position (%)","Throttle Position Actually (°)","Timing advance (°)","Variable camshaft actual advance #1 (°)","Vehicle acceleration (g)","Vehicle speed (km/h)",
03:09:39.592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.78125,,,,,,,,
03:09:39.686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94873046875,,,,,
03:09:39.773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.78125,,,,,,,,
03:09:39.863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94873046875,,,,,
03:09:39.890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.78125,,,,,,,,
03:09:39.922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94873046875,,,,,
03:09:39.950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.78125,,,,,,,,
03:09:39.981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94873046875,,,,,
03:09:40.010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.78125,,,,,,,,
03:09:40.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94873046875,,,,,
03:09:40.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.78125,,,,,,,,
03:09:40.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94873046875,,,,,
03:09:40.130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.78125,,,,,,,,
03:09:40.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94873046875,,,,,
03:09:40.190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.78125,,,,,,,,
03:09:40.220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94873046875,,,,,
03:09:40.250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5625,,,,,,,,
03:09:40.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94873046875,,,,,
03:09:40.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5625,,,,,,,,
03:09:40.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94873046875,,,,,
03:09:40.370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5625,,,,,,,,
03:09:40.401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94873046875,,,,,
03:09:40.430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5625,,,,,,,,
03:09:40.464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94873046875,,,,,
03:09:40.490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5625,,,,,,,,
03:09:40.522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94873046875,,,,,
03:09:40.551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5625,,,,,,,,
03:09:40.583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94873046875,,,,,
03:09:40.610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5625,,,,,,,,
03:09:40.641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94873046875,,,,,
03:09:40.670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5625,,,,,,,,
03:09:40.700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94873046875,,,,,
03:09:40.730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.78125,,,,,,,,
03:09:40.762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94873046875,,,,,
03:09:40.792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.78125,,,,,,,,
03:09:40.824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94873046875,,,,,
03:09:40.850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.78125,,,,,,,,
03:09:40.881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94873046875,,,,,
03:09:40.910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.78125,,,,,,,,
03:09:40.940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94873046875,,,,,
03:09:40.970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.78125,,,,,,,,
03:09:41.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94873046875,,,,,
03:09:41.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
03:09:41.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94873046875,,,,,
03:09:41.601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
03:09:41.630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94873046875,,,,,
03:09:41.660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
03:09:41.690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94873046875,,,,,
03:09:41.721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
03:09:41.751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94873046875,,,,,
03:09:41.782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
03:09:41.810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94873046875,,,,,
03:09:41.842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
03:09:41.870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94873046875,,,,,
03:09:41.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
03:09:41.931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94873046875,,,,,
03:09:41.961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
03:09:41.992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94873046875,,,,,
03:09:42.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
03:09:42.050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94873046875,,,,,
03:09:42.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
03:09:42.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94873046875,,,,,
03:09:42.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78125,,,,,,,,
03:09:42.170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94873046875,,,,,
03:09:42.202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78125,,,,,,,,
03:09:42.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94873046875,,,,,
03:09:42.262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5625,,,,,,,,
03:09:42.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94873046875,,,,,
03:09:42.321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5625,,,,,,,,
03:09:42.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5625,,,,,,,,
03:09:42.505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94873046875,,,,,
03:09:42.595,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
03:09:42.685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78125,,,,,,,
03:09:42.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
03:09:42.865,,,,,,,,,,,659,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:09:42.951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0,0,
03:09:43.279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,,,,
03:09:43.373,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,
03:09:43.463,,,,,2.5925723727157246,,,,,,,,,,,,,,,,,10.142656197297104,,,,,,,7.63,,,9.155999999999999,,,,,,,,,
03:09:43.553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.117647058823529,,,,,,
03:09:43.643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.775,,,,,,,,,,,
03:09:43.766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.775,,,,,,,,,,
03:09:43.820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5625,,,,,,,,
03:09:43.850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.84375,,,,,
03:09:43.942,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
03:09:44.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.90625,,,,,,,
03:09:44.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
03:09:44.213,,,,,,,,,,,685,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:09:44.302,,,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0,0,
03:09:44.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,
03:09:44.487,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,
03:09:44.573,,,,,1.4338997919869407,,,,,,,,0.0004493290693278153,0.004724,0.004724,0.004724,0.00045382236002109344,0.0047712399999999995,0.0047712399999999995,0.0047712399999999995,,5.609699757875987,,,,,,,4.22,,,5.063999999999999,,,,,,,,,
03:09:44.692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78125,,,,,,,,
03:09:44.786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.98828125,,,,,
03:09:44.810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5625,,,,,,,,
03:09:44.841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95166015625,,,,,
03:09:44.871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5625,,,,,,,,
03:09:44.904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.87841796875,,,,,
03:09:44.931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5625,,,,,,,,
03:09:44.964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.841796875,,,,,
03:09:44.991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5625,,,,,,,,
03:09:45.020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.841796875,,,,,
03:09:45.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5625,,,,,,,,
03:09:45.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.841796875,,,,,
03:09:45.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34375,,,,,,,,
03:09:45.146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.841796875,,,,,
03:09:45.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34375,,,,,,,,
03:09:45.202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.841796875,,,,,
03:09:45.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34375,,,,,,,,
03:09:45.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.841796875,,,,,
03:09:45.327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34375,,,,,,,,
03:09:45.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.841796875,,,,,
03:09:45.441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.125,,,,,,,,
03:09:45.471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.841796875,,,,,
03:09:45.534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.90625,,,,,,,,
03:09:45.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.841796875,,,,,
03:09:45.684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6875,,,,,,,,
03:09:45.712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.841796875,,,,,
03:09:45.741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6875,,,,,,,,
03:09:45.774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.841796875,,,,,
03:09:45.832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.90625,,,,,,,,
03:09:45.863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.841796875,,,,,
03:09:45.894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.90625,,,,,,,,
03:09:45.923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.841796875,,,,,
03:09:45.950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.90625,,,,,,,,
03:09:45.981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.68408203125,,,,,
03:09:46.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.90625,,,,,,,,
03:09:46.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.68408203125,,,,,
03:09:46.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.125,,,,,,,,
03:09:46.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.68408203125,,,,,
03:09:46.163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.125,,,,,,,,
03:09:46.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7939453125,,,,,
03:09:46.548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.125,,,,,,,,
03:09:46.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8427734375,,,,,
03:09:46.641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.125,,,,,,,,
03:09:46.684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8427734375,,,,,
03:09:46.706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.125,,,,,,,,
03:09:46.769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.90380859375,,,,,
03:09:46.800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.125,,,,,,,,
03:09:46.850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.90380859375,,,,,
03:09:46.883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.125,,,,,,,,
