time,"# warm-ups since codes cleared ()","Absolute load value (%)","Absolute pedal position D (%)","Absolute pedal position E (%)","Absolute throttle position B (%)","Ambient air temperature (℃)","Average fuel consumption (L/100km)","Average fuel consumption (Today) (L/100km)","Average fuel consumption (total) (L/100km)","Average fuel consumption (Week) (L/100km)","Average fuel consumption 10 sec (L/100km)","Average speed (km/h)","Barometric pressure (kPa)","Calculated boost (bar)","Calculated instant fuel consumption (L/100km)","Calculated instant fuel rate (L/h)","Catalyst temperature Bank 1 Sensor 1 (℃)","Catalyst temperature Bank 2 Sensor 1 (℃)","Commanded evaporative purge (%)","Commanded throttle actuator (%)","Control module voltage (V)","Distance traveled since codes cleared (km)","Distance traveled with MIL on (km)","Distance travelled (km)","Distance travelled (Today) (km)","Distance travelled (total) (km)","Distance travelled (Week) (km)","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Ethanol fuel percent (%)","Evap. system vapor pressure (Pa)","Free space in fuel tank (L)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel level input (%) (%)","Fuel level input (V) (L)","Fuel used (L)","Fuel used (Today) (L)","Fuel used (total) (L)","Fuel used (Week) (L)","Fuel used price ($)","Fuel used price (Today) ($)","Fuel used price (total) ($)","Fuel used price (Week) ($)","Fuel/Air commanded equivalence ratio ()","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℃)","Long term fuel % trim - Bank 1 (%)","Long term fuel % trim - Bank 2 (%)","MAF air flow rate (g/sec)","Oxygen sensor 1 Wide Range Current (mA) (mA)","Oxygen sensor 1 Wide Range Equivalence ratio ()","Oxygen sensor 2 Bank 1 Voltage (V)","Oxygen sensor 2 Bank 2 Voltage (V)","Oxygen sensor 5 Wide Range Current (mA) (mA)","Oxygen sensor 5 Wide Range Equivalence ratio ()","Power from MAF (hp)","Relative throttle position (%)","Throttle position (%)","Timing advance (°)","Vehicle acceleration (g)","Vehicle speed (km/h)",
03:46:46.641,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:46.844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,
03:46:46.906,,,,,,,,,,,,,,,,,,,,,,,,,,,,659,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:46.995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,
03:46:47.030,,,,,,,,,,,,,,,,,,,,,,,,,,,,658,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:47.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,,,
03:46:47.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,659,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:47.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,,,
03:46:47.150,,,,,,,,,,,,,,,,,,,,,,,,,,,,657,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:47.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,,,
03:46:47.210,,,,,,,,,,,,,,,,,,,,,,,,,,,,657,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:47.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,,,
03:46:47.271,,,,,,,,,,,,,,,,,,,,,,,,,,,,657,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:47.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,,,
03:46:47.332,,,,,,,,,,,,,,,,,,,,,,,,,,,,658,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:47.363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,,,
03:46:47.390,,,,,,,,,,,,,,,,,,,,,,,,,,,,658,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:47.422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,,,
03:46:47.450,,,,,,,,,,,,,,,,,,,,,,,,,,,,657,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:47.482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,,,
03:46:47.511,,,,,,,,,,,,,,,,,,,,,,,,,,,,658,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:47.543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,,,
03:46:47.571,,,,,,,,,,,,,,,,,,,,,,,,,,,,658,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:47.603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,,,
03:46:47.630,,,,,,,,,,,,,,,,,,,,,,,,,,,,659,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:47.661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,,,
03:46:47.690,,,,,,,,,,,,,,,,,,,,,,,,,,,,661,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:47.723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,
03:46:47.750,,,,,,,,,,,,,,,,,,,,,,,,,,,,660,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:47.782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,
03:46:47.811,,,,,,,,,,,,,,,,,,,,,,,,,,,,658,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:47.843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,
03:46:47.901,,,,,,,,,,,,,,,,,,,,,,,,,,,,659,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:47.934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,
03:46:47.960,,,,,,,,,,,,,,,,,,,,,,,,,,,,659,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:47.990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,
03:46:48.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,657,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:48.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,
03:46:48.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,656,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:48.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,
03:46:48.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,655,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:48.170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,
03:46:48.230,,,,,,,,,,,,,,,,,,,,,,,,,,,,651,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:48.352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,
