time,"# warm-ups since codes cleared ()","A/C pressure (kPa)","Absolute load value (%)","Absolute pedal position D (%)","Absolute pedal position E (%)","Absolute throttle position B (%)","Air:fuel ratio ()","Ambient air temperature (℃)","ATF temperature var.3 (℃)","Average fuel consumption (L/100km)","Average fuel consumption (Today) (L/100km)","Average fuel consumption (total) (L/100km)","Average fuel consumption (Week) (L/100km)","Average speed (km/h)","Barometric pressure (kPa)","Calculated boost (bar)","Calculated engine load value (%)","Calculated instant fuel consumption (L/100km)","Calculated instant fuel rate (L/h)","Catalyst temperature Bank 1 Sensor 1 (℃)","Catalyst temperature Bank 2 Sensor 1 (℃)","Commanded evaporative purge (%)","Commanded throttle actuator (%)","Control module voltage (V)","Distance to empty (km)","Distance traveled since codes cleared (km)","Distance traveled with MIL on (km)","Distance travelled (km)","Distance travelled (Today) (km)","Distance travelled (total) (km)","Distance travelled (Week) (km)","Engine coolant temperature (℃)","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Ethanol fuel percent (%)","Evap. system vapor pressure (Pa)","Free space in fuel tank (L)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel level input (%) (%)","Fuel level input (V) (L)","Fuel used (L)","Fuel used (Today) (L)","Fuel used (total) (L)","Fuel used (Week) (L)","Fuel used price ($)","Fuel used price (Today) ($)","Fuel used price (total) ($)","Fuel used price (Week) ($)","Fuel/Air commanded equivalence ratio ()","Gear (AT) ()","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℃)","Knock retard (°)","Lambda ()","Learned octane ()","Long term fuel % trim - Bank 1 (%)","Long term fuel % trim - Bank 2 (%)","MAF air flow rate (g/sec)","OBD Module Voltage (V)","Oxygen sensor 1 Wide Range Current (mA) (mA)","Oxygen sensor 1 Wide Range Equivalence ratio ()","Oxygen sensor 2 Bank 1 Voltage (V)","Oxygen sensor 2 Bank 2 Voltage (V)","Oxygen sensor 5 Wide Range Current (mA) (mA)","Oxygen sensor 5 Wide Range Equivalence ratio ()","Power from MAF (hp)","Relative throttle position (%)","Short term fuel % trim - Bank 1 (%)","Short term fuel % trim - Bank 2 (%)","Throttle position (%)","Throttle Position Actually (°)","Throttle Position Desired (°)","Timing advance (°)","Variable camshaft actual advance #1 (°)","Vehicle acceleration (g)","Vehicle speed (km/h)",
04:17:37.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:17:37.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:17:37.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,
04:17:37.397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1027,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:17:37.606,,,,,,,,,,,,,,34,,,,,,,,,,,,,,0.0033554005000000003,0.148846,0.148846,0.148846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,
04:17:37.784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:17:37.931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:17:37.964,,,,,,,,,,,,,,33.48744954724579,,,,,,,,,,,,,,0.006779815083333334,0.15227,0.15227,0.15227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0011053282460034488,33,
04:17:38.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,989,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:17:38.414,,,,,,,,,,,,,,33.30428044890393,,,,,,,,,,,,,,0.010801683666666667,0.156292,0.156292,0.156292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0011258717310341187,33,
04:17:38.724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,990,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:17:38.812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:17:38.836,,,,,,,,,,,,,,32.90269010301574,,,,,,,,,,,,,,0.015418961000000002,0.160909,0.160909,0.160909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07092600816117642,32,
04:17:39.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,899,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:17:39.317,,,,,,,,,,,,,,32.73946876126227,,,,,,,,,,,,,,0.018728982333333335,0.164219,0.164219,0.164219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.033115271357649016,32,
04:17:39.464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1107,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:17:39.557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:17:39.584,,,,,,,,,,,,,,32.6506500146077,,,,,,,,,,,,,,0.021227887222222224,0.166718,0.166718,0.166718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01749373963238225,32,
04:17:39.736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1094,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:17:39.796,,,,,,,,,,,,,,32.59669854513713,,,,,,,,,,,,,,0.023108993,0.168599,0.168599,0.168599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02049632693607108,32,
04:17:39.947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1085,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:17:40.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:17:40.036,,,,,,,,,,,,,,32.547791938104226,,,,,,,,,,,,,,0.025134385888888888,0.170624,0.170624,0.170624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,32,
04:17:40.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1051,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:17:40.244,,,,,,,,,,,,,,32.51050763401194,,,,,,,,,,,,,,0.02693915033333333,0.172429,0.172429,0.172429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,32,
04:17:40.665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:17:40.761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:17:40.815,,,,,,,,,,,,,,32.425921734835484,,,,,,,,,,,,,,0.03220511922222222,0.177695,0.177695,0.177695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,32,
04:17:41.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1083,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:17:41.145,,,,,,,,,,,,,,32.47357153738713,,,,,,,,,,,,,,0.03517178255555555,0.180662,0.180662,0.180662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021006743083642965,33,
04:17:41.418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1057,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:17:41.503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:17:41.535,,,,,,,,,,,,,,32.52126196726249,,,,,,,,,,,,,,0.03873228730555555,0.184223,0.184223,0.184223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018892177875979382,33,
04:17:41.691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1069,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:17:41.776,,,,,,,,,,,,,,32.54633959997606,,,,,,,,,,,,,,0.04090486522222222,0.186396,0.186396,0.186396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018495442593310398,33,
04:17:41.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1101,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:17:42.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:17:42.044,,,,,,,,,,,,,,32.57186536330966,,,,,,,,,,,,,,0.04337764322222222,0.188869,0.188869,0.188869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0230512936314565,33,
04:17:42.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1068,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:17:42.345,,,,,,,,,,,,,,32.65593716893064,,,,,,,,,,,,,,0.046209902722222224,0.191701,0.191701,0.191701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02360679051387812,34,
04:17:42.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:17:42.554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:17:42.584,,,,,,,,,,,,,,32.71562775766157,,,,,,,,,,,,,,0.04844587683333333,0.193937,0.193937,0.193937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02700568007468037,34,
04:17:42.735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1072,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:17:42.796,,,,,,,,,,,,,,32.764247743099986,,,,,,,,,,,,,,0.05042678294444444,0.195918,0.195918,0.195918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027753171635424075,34,
04:17:42.918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1083,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:17:42.980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:17:43.004,,,,,,,,,,,,,,32.81079801074466,,,,,,,,,,,,,,0.05247514411111111,0.197966,0.197966,0.197966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029490873654670652,34,
04:17:43.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1091,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:17:43.215,,,,,,,,,,,,,,32.85185440878333,,,,,,,,,,,,,,0.05441960694444444,0.19991,0.19991,0.19991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,34,
04:17:43.365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1102,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:17:43.427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:17:43.456,,,,,,,,,,,,,,32.935700581553164,,,,,,,,,,,,,,0.05677451583333333,0.202265,0.202265,0.202265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03249087099671576,35,
04:17:43.605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:17:43.663,,,,,,,,,,,,,,33.00168634997927,,,,,,,,,,,,,,0.05876675375,0.204257,0.204257,0.204257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0326587580812544,35,
04:17:44.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1132,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:17:44.146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:17:44.175,,,,,,,,,,,,,,33.149129928466884,,,,,,,,,,,,,,0.06373168847222221,0.209222,0.209222,0.209222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024183880942318804,35,
