monitor,mid,tid,description,value,limit_min,limit_max,result,source
Catalyst Monitor Bank 1,MID$21,TID$81,Manufacturer defined,0.371089265,0,0.835927397,PASSED,OCR of m253-15_mode06.jpg; reading PART3-0130
Catalyst Monitor Bank 2,MID$22,TID$81,Manufacturer defined,0.363276859,0,0.835927397,PASSED,OCR of m253-15_mode06.jpg; reading PART3-0131
EVAP Monitor (0.040”),MID$3B,TID$80,Manufacturer defined,0,0,0,PASSED,OCR of m253-11_mode06.jpg
EVAP Monitor (0.090“),MID$3A,TID$80,Manufacturer defined,0,0,0,PASSED,OCR of m253-13_mode06.jpg
EVAP Monitor (0.090“),MID$3A,TID$81,Manufacturer defined,0,0,0,PASSED,OCR of m253-13_mode06.jpg
EVAP Monitor (0.090“),MID$3A,TID$82,Manufacturer defined,0,0,0,PASSED,OCR of m253-11_mode06.jpg
Fuel System Monitor Bank 1,MID$81,TID$80,Manufacturer defined,0,0,0.796865369,PASSED,OCR of m253-12_mode06.jpg; reading PART3-0140
Fuel System Monitor Bank 2,MID$82,TID$80,Manufacturer defined,0,0,0.796865369,PASSED,OCR of m253-12_mode06.jpg; reading PART3-0141
Misfire Cylinder 1 Data,MID$A2,TID$0B,,0,0,65535,PASSED,docs/f150-diagnosis.md; reading PART3-0124
Misfire Cylinder 1 Data,MID$A2,TID$0C,,0,0,65535,PASSED,docs/f150-diagnosis.md; reading PART3-0118
Misfire Cylinder 1 Data,MID$A2,TID$80,Manufacturer defined,0,0,30.976274,PASSED,OCR of m253-06_mode06.jpg
Misfire Cylinder 1 Data,MID$A2,TID$81,Manufacturer defined,0,0,0.949172,PASSED,OCR of m253-06_mode06.jpg
Misfire Cylinder 2 Data,MID$A3,TID$0B,,0,0,65535,PASSED,docs/f150-diagnosis.md; reading PART3-0125
Misfire Cylinder 2 Data,MID$A3,TID$0C,,0,0,65535,PASSED,docs/f150-diagnosis.md; reading PART3-0119
Misfire Cylinder 2 Data,MID$A3,TID$80,Manufacturer defined,0,0,30.976274,PASSED,OCR of m253-08_mode06.jpg
Misfire Cylinder 2 Data,MID$A3,TID$81,Manufacturer defined,0,0,0.949172,PASSED,OCR of m253-08_mode06.jpg
