reading_id,session_date,phone_clock,graph_clock,capture_type,channel_graph_header,channel_list_label,paired_with,gear,load,thermal,coolant_c,ac,rpm_at_capture,value,value_min,value_max,span,units,reading_method,admissible,epoch,notes,source
PART0-0001,2026-09-02,unknown,unknown,value_read,unknown,unknown,none,P,idle,warm,unknown,off,unknown,unknown,650,750,100,rpm,owner_report,unknown,pre_purge_valve,"DIRECT ANSWER from the owner to 'What is the actual idle rpm in Park, warm, A/C off?' - 'Normal, around 650-750'. Higher grade than PART1-0001, which was the assistant's restatement of this same answer. Read off the dash tachometer, not logged.",owner_answers round 3; near [8]
PART0-0002,2026-09-02,unknown,unknown,value_read,unknown,unknown,none,P,rpm_sweep,unknown,unknown,unknown,unknown,reproducible_in_park_standing_still,1000,2000,1000,rpm,owner_report,unknown,pre_purge_valve,"DIRECT ANSWER to 'The unstable 1,000-2,000 rpm - can you reproduce it standing still?' - 'Yes, in Park standing still'. CONFIRMS the 1,000-2,000 rpm instability that part1 row P1O-0014 recorded as unconfirmed repo-carried claim. Note the tension with PART0-0018 from the very next round, where the sweep answer is 'present everywhere, roughly equal' - i.e. no band standing out.",owner_answers round 2; near [7]
PART0-0003,2026-09-02,unknown,unknown,value_read,unknown,tachometer needle (dash),none,P,rpm_sweep,unknown,unknown,unknown,1500,needle_visibly_wanders,unknown,unknown,unknown,n/a,owner_report,unknown,pre_purge_valve,"DIRECT ANSWER to 'Holding steady throttle in Park at ~1,500 rpm, does the tachometer needle actually move?' - 'Needle visibly wanders'. The 1,500 rpm figure is the condition set in the question, not measured by the owner. This answer is what made the assistant reverse its mechanical-imbalance theory in [9].",owner_answers round 3; near [8]
PART0-0004,2026-09-02,unknown,unknown,dtc,unknown,malfunction indicator lamp (MIL),none,n/a,n/a,unknown,unknown,unknown,unknown,never_illuminated,unknown,unknown,unknown,n/a,owner_report,unknown,pre_purge_valve,"DIRECT ANSWER to 'Has the check engine light ever come on since this started?' - 'Never, not once'. This is a lamp observation, not a code read; no scan tool had been connected at this point.",owner_answers round 2; near [7]
PART0-0005,2026-09-02,unknown,unknown,subjective,unknown,unknown,none,P,idle,unknown,unknown,on,unknown,no_change,unknown,unknown,unknown,n/a,owner_report,unknown,pre_purge_valve,DIRECT ANSWER to 'What does turning the A/C on do to the shake at idle?' - 'No change at all'. Used by the assistant to kill the idle-air-control and low-idle-speed theories.,owner_answers round 2; near [7]
PART0-0006,2026-09-02,unknown,unknown,physical,unknown,engine coolant temperature (dash gauge),none,unknown,unknown,warm,unknown,unknown,unknown,comes_up_normally_stays_there,unknown,unknown,unknown,n/a,owner_report,unknown,pre_purge_valve,"DIRECT ANSWER to 'Does the temperature gauge come up to normal and stay there?' - 'Comes up normally, stays there'. No numeric temperature stated.",owner_answers round 9; near [23]
PART0-0007,2026-09-02,unknown,unknown,physical,unknown,engine oil viscosity in sump,none,n/a,n/a,n/a,unknown,n/a,n/a,5W-30,unknown,unknown,unknown,SAE grade,owner_report,unknown,pre_purge_valve,HEDGED ANSWER to 'What oil viscosity is in it now?' - '5W-30 or similar'. The owner is not certain of the grade. Recorded as 5W-30 with the hedge preserved here; do not treat as confirmed.,owner_answers round 9; near [23]
PART0-0008,2026-09-02,unknown,unknown,physical,unknown,coolant level,none,n/a,n/a,unknown,unknown,n/a,n/a,stays_steady,unknown,unknown,unknown,n/a,owner_report,unknown,pre_purge_valve,DIRECT ANSWER to 'Does it use or lose coolant?' - 'Level stays steady'. Bears on the internal timing-chain-driven water pump watch item.,owner_answers round 9; near [23]
PART0-0009,2026-09-02,unknown,unknown,value_read,unknown,distance driven since battery disconnect and relearn,none,n/a,driving,n/a,unknown,n/a,n/a,300,unknown,unknown,unknown,km,owner_report,unknown,pre_purge_valve,DIRECT ANSWER to 'Has the battery been disconnected or replaced - and was an idle relearn done afterward?' - 'Disconnect and drove about 300km and relearn done'. 'About' - approximate.,owner_answers round 7; near [18]
PART0-0010,2026-09-02,unknown,unknown,value_read,unknown,drive-cycle relearn distance advised by the shop,none,n/a,driving,n/a,unknown,n/a,n/a,250,unknown,unknown,unknown,km,owner_report,unknown,pre_purge_valve,"HEDGED ANSWER to 'Was an idle relearn run after that cleaning?' - 'I don't know they said drive it 250km and it will relearn'. The 250 km is what the shop told him, NOT a confirmed relearn procedure and NOT a distance he confirms driving. The assistant in [28] treated this as a legitimate completed relearn - that goes beyond what the owner said.",owner_answers round 11; near [27]
PART0-0011,unknown,unknown,unknown,value_read,unknown,airbag / restraint warning lamp,none,n/a,key_on_engine_off,unknown,unknown,unknown,unknown,no_light_cluster_normal,unknown,unknown,unknown,n/a,owner_report,unknown,pre_purge_valve,"DIRECT ANSWER to 'Is the airbag / restraint warning light on in the cluster?' - 'No light, cluster normal'. Makes the RCM restraint code historical rather than an active fault. Epoch inferred from message position (near [102], well before the purge valve replacement), not stated by the owner.",owner_answers round 12; near [102]
PART0-0012,unknown,unknown,unknown,dtc,unknown,complete DTC list,none,n/a,n/a,unknown,unknown,unknown,unknown,list_complete,unknown,unknown,unknown,n/a,owner_report,unknown,pre_purge_valve,"DIRECT ANSWER to 'Was that the complete code list, or is there more above or below?' - 'That is everything'. Confirms the code list captured in the scan near [102] was not truncated by the screenshot. The codes themselves are in another agent's part.",owner_answers round 12; near [102]
PART0-0013,unknown,unknown,unknown,physical,unknown,A/C outlet performance,none,unknown,idle,unknown,unknown,on,unknown,cools_properly,unknown,unknown,unknown,n/a,owner_report,unknown,pre_purge_valve,"DIRECT ANSWER to 'Does the A/C actually blow cold?' - 'Yes, cools properly'. Establishes the compressor is doing real work when the A/C-on traces were taken.",owner_answers round 13; near [112]
PART0-0014,unknown,unknown,unknown,physical,unknown,scan app graph screen width (timed against the phone clock),none,n/a,n/a,n/a,unknown,n/a,n/a,15,unknown,unknown,unknown,s,owner_report,unknown,pre_purge_valve,"DIRECT ANSWER to 'How long does the trace take to travel the full width of the graph, timed against your phone clock?' - 'About 15 seconds'. THIS IS THE MEASUREMENT THAT SETS THE TIME AXIS FOR EVERY GRAPH READING IN THE DATASET. An earlier revision of the project assumed the screen was 15 minutes wide; that assumption made the idle oscillation period wrong by a factor of 60. Approximate ('about').",owner_answers round 14; near [116]
PART0-0015,unknown,unknown,unknown,subjective,unknown,"tachometer needle (dash), live",none,unknown,idle,unknown,unknown,unknown,unknown,visibly_breathes_up_and_down,unknown,unknown,unknown,n/a,owner_report,unknown,pre_purge_valve,"DIRECT ANSWER to 'When you watch the live tachometer needle in the cab, what does it actually do?' - 'Visibly breathes up and down'. Owner confirmation of the rhythmic idle hunt, independent of the graph.",owner_answers round 14; near [116]
PART0-0016,2026-09-02,unknown,unknown,physical,unknown,fuel octane used,none,n/a,n/a,n/a,unknown,n/a,n/a,95,unknown,unknown,unknown,RON,owner_report,unknown,pre_purge_valve,"DIRECT ANSWER to 'What fuel goes in it, and from where?' - 'Always 95, same station'.",owner_answers round 7; near [18]
PART0-0017,2026-09-02,unknown,unknown,subjective,unknown,unknown,none,driving,cruise,unknown,unknown,unknown,unknown,no_vibration_at_all,unknown,unknown,unknown,n/a,owner_report,unknown,pre_purge_valve,"DIRECT ANSWER to 'Under load on the road, does it pull normally?' - 'Pulls great with no vibration at all'. The load half of the load curve, in the owner's own words.",owner_answers round 4; near [9]
PART0-0018,2026-09-02,unknown,unknown,subjective,unknown,unknown,none,P,rpm_sweep,unknown,unknown,unknown,unknown,present_everywhere_roughly_equal,unknown,unknown,unknown,n/a,owner_report,unknown,pre_purge_valve,"DIRECT ANSWER to 'How does the shake behave as you sweep the rpm up in Park?' - 'Present everywhere, roughly equal'. FLAGGED: this is in tension with PART0-0002 from the round immediately before, where a 1,000-2,000 rpm band is described as specifically unstable and reproducible in Park. It is also an impression from ordinary use, not a conducted, held-and-rated rpm sweep - the project's own later notes list that sweep as still undone.",owner_answers round 3; near [8]
