exif_session,start,end,duration,n_images,first_message,last_message,content,epoch_from_exif,gap_before
EX01,2026-09-04 22:26:11,2026-09-04 22:26:11,0:00:00,3,101,182,"dtc x1, misc x1, monitors x1",pre_purge_valve,
EX02,2026-09-04 22:31:16,2026-09-04 22:33:09,0:01:53,20,105,182,"misc x10, monitors x10",pre_purge_valve,0:05:05
EX03,2026-09-04 22:40:36,2026-09-04 22:45:16,0:04:40,11,108,115,"accelerometer x6, rpm-ac-on x5",pre_purge_valve,0:07:27
EX04,2026-09-04 23:02:45,2026-09-04 23:04:47,0:02:02,8,125,125,stft x8,pre_purge_valve,0:17:29
EX05,2026-09-04 23:09:21,2026-09-04 23:11:15,0:01:54,11,127,132,stft x11,pre_purge_valve,0:04:34
EX06,2026-09-04 23:17:31,2026-09-04 23:23:45,0:06:14,17,137,139,"timing x10, ltft x7",pre_purge_valve,0:06:16
EX07,2026-09-04 23:34:18,2026-09-04 23:35:30,0:01:12,6,144,144,maf x6,pre_purge_valve,0:10:33
EX08,2026-09-04 23:42:37,2026-09-05 00:04:35,0:21:58,41,150,162,"commanded-afr x16, mode06 x7, throttle x7, lambda-afr x6, ecu-voltage x5",pre_purge_valve,0:07:07
EX09,2026-09-05 00:11:41,2026-09-05 00:17:44,0:06:03,15,164,168,"mode06 x11, downstream-o2 x4",pre_purge_valve,0:07:06
EX10,2026-09-05 00:26:48,2026-09-05 00:28:52,0:02:04,7,170,170,mode06 x7,pre_purge_valve,0:09:04
EX11,2026-09-05 00:48:34,2026-09-05 00:51:00,0:02:26,9,178,178,stft x9,pre_purge_valve,0:19:42
EX12,2026-09-05 01:00:04,2026-09-05 01:01:50,0:01:46,11,191,191,misc x11,pre_purge_valve,0:09:04
EX13,2026-09-05 01:12:52,2026-09-05 01:13:46,0:00:54,4,195,195,ltft x4,pre_purge_valve,0:11:02
EX14,2026-09-05 01:18:14,2026-09-05 01:20:57,0:02:43,13,198,198,fuelcut x13,pre_purge_valve,0:04:28
EX15,2026-09-05 01:30:18,2026-09-05 01:32:39,0:02:21,13,201,201,throttle x13,pre_purge_valve,0:09:21
EX16,2026-09-05 03:11:06,2026-09-05 03:12:47,0:01:41,7,212,212,timing x7,post_purge_valve,1:38:27
EX17,2026-09-05 03:17:59,2026-09-05 03:25:53,0:07:54,17,214,221,"timing x12, misc x5",post_purge_valve,0:05:12
EX18,2026-09-05 03:49:34,2026-09-05 03:50:23,0:00:49,5,232,232,fuelcut x5,post_purge_valve,0:23:41
EX19,2026-09-05 03:58:11,2026-09-05 04:05:18,0:07:07,18,237,240,"wot x14, fuelcut x4",post_purge_valve,0:07:48
EX20,2026-09-05 04:28:31,2026-09-05 04:31:02,0:02:31,8,250,250,purge x8,post_purge_valve,0:23:13
EX21,2026-09-05 04:36:02,2026-09-05 04:37:39,0:01:37,16,253,253,mode06 x16,post_purge_valve,0:05:00
EX22,2026-09-05 04:49:10,2026-09-05 04:54:31,0:05:21,16,258,258,mode06 x16,post_purge_valve,0:11:31
EX23,2026-09-05 05:02:16,2026-09-05 05:02:16,0:00:00,1,263,263,mode06 x1,post_purge_valve,0:07:45
